,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
851,CS 415: Game Development,137,3.72,13.9,59.9,7.3,5.1,3.6,3.6,0.0,3.6,2.9,0.0,0.0,0.0,0.0
852,CS 418: Interactive Computer Graphics,368,3.38,15.5,31.0,14.7,13.6,8.2,3.5,2.4,3.0,2.2,0.3,3.5,0.0,2.2
853,CS 419: Production Computer Graphics,32,3.48,12.5,50.0,12.5,9.4,0.0,3.1,0.0,6.2,0.0,0.0,0.0,0.0,6.2
854,CS 420: Parallel Progrmg: Sci & Engrg,117,3.61,17.9,27.4,29.1,11.1,9.4,0.9,1.7,0.9,0.0,0.0,0.0,0.0,1.7
855,CS 421: Programming Languages & Compilers,810,3.48,23.2,47.3,0.4,6.4,6.2,0.4,3.3,2.5,0.0,5.8,3.1,0.0,1.5
856,CS 423: Operating Systems Design,84,3.54,8.3,46.4,11.9,6.0,13.1,2.4,7.1,2.4,2.4,0.0,0.0,0.0,0.0
857,CS 424: Real-Time Systems,196,3.7,17.9,41.3,13.3,12.2,10.7,2.6,1.5,0.5,0.0,0.0,0.0,0.0,0.0
858,CS 425: Distributed Systems,821,3.14,6.7,14.7,19.2,15.7,15.7,10.6,6.7,3.5,2.3,1.7,0.6,0.5,1.9
859,CS 426: Compiler Construction,104,3.51,9.6,39.4,14.4,4.8,17.3,6.7,3.8,2.9,0.0,0.0,1.0,0.0,0.0
860,CS 427: Software Engineering I,815,3.77,37.4,36.4,12.3,5.4,3.2,1.8,0.0,1.8,0.0,0.0,0.7,0.0,0.9
861,CS 431: Embedded Systems,62,3.62,24.2,30.6,11.3,14.5,12.9,0.0,3.2,3.2,0.0,0.0,0.0,0.0,0.0
862,CS 433: Computer System Organization,155,3.46,9.0,26.5,24.5,12.9,12.3,6.5,3.9,2.6,1.9,0.0,0.0,0.0,0.0
863,CS 435: Cloud Networking,463,3.57,6.7,59.8,12.5,5.8,3.9,2.4,0.0,2.4,0.9,0.4,0.6,0.4,4.1
864,CS 438: Communication Networks,828,3.57,11.6,29.1,24.0,18.6,10.3,3.1,0.7,1.0,0.8,0.0,0.0,0.0,0.7
865,CS 440: Artificial Intelligence,1620,3.5,11.2,39.3,15.2,10.4,11.4,2.5,2.1,4.2,0.8,0.4,0.5,0.6,1.3
866,CS 441: Applied Machine Learning,1287,3.74,2.7,76.0,8.9,2.9,1.9,1.8,1.2,0.6,0.8,0.4,0.2,0.4,2.3
867,CS 442: Trustworthy Machine Learning,43,3.43,20.9,25.6,16.3,9.3,18.6,2.3,0.0,2.3,0.0,0.0,0.0,0.0,4.7
868,CS 443: Reinforcement Learning,130,3.19,12.3,20.8,12.3,12.3,12.3,9.2,9.2,3.8,2.3,3.1,0.8,1.5,0.0
869,CS 444: Deep Learning for Computer Vision,750,3.72,22.0,58.9,1.6,1.7,8.5,0.8,0.7,3.1,0.1,0.1,0.7,0.3,1.5
870,CS 445: Computational Photography,1117,3.55,20.9,34.6,22.0,7.0,4.3,2.7,1.4,1.0,1.0,0.7,0.9,1.0,2.6
871,CS 446: Machine Learning,1222,3.36,6.9,25.4,24.0,15.8,9.0,7.0,4.1,3.9,1.3,0.4,0.3,0.7,1.2
872,CS 447: Natural Language Processing,1086,3.64,20.7,33.1,25.6,8.6,5.0,2.7,1.1,0.5,0.2,0.3,0.3,0.0,2.0
873,CS 448: Audio Computing Laboratory,153,3.57,22.2,39.2,11.1,5.9,8.5,5.2,2.0,2.6,0.7,0.0,0.7,0.0,2.0
874,CS 450: Numerical Analysis,432,3.37,16.9,21.5,14.8,13.9,11.8,8.3,5.8,3.5,1.6,0.9,0.2,0.0,0.7
875,CS 461: Computer Security I,1153,2.88,5.6,12.1,14.7,10.7,15.7,14.7,6.6,4.9,5.9,2.3,1.9,1.9,3.0
876,CS 463: Computer Security II,590,3.78,53.7,20.7,12.0,3.7,4.9,1.5,0.8,1.0,0.0,0.2,0.3,0.0,1.0
877,CS 464: Topics in Societal and Ethical Impacts of Computer Technology,90,3.79,32.2,41.1,10.0,7.8,3.3,4.4,0.0,0.0,0.0,0.0,1.1,0.0,0.0
878,CS 466: Introduction to Bioinformatics,438,3.41,12.6,38.1,10.3,7.1,16.7,4.8,1.6,3.7,0.9,0.2,1.6,0.0,2.5
879,CS 467: Social Visualization,145,3.82,17.9,53.1,17.9,4.8,4.1,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.7
880,CS 469: Computational Advertising Infrastructure,75,3.91,30.7,54.7,9.3,1.3,2.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
881,CS 473: Algorithms,579,3.22,8.1,19.2,16.9,15.5,15.7,9.2,5.9,4.0,2.2,0.3,1.2,0.0,1.7
882,CS 475: Formal Models of Computation,24,3.49,37.5,25.0,0.0,12.5,8.3,8.3,4.2,0.0,0.0,0.0,0.0,0.0,4.2
883,CS 476: Program Verification,24,3.57,37.5,37.5,0.0,4.2,0.0,4.2,12.5,0.0,0.0,0.0,0.0,4.2,0.0
884,CS 477: Formal Software Development Methods,158,3.52,15.2,27.8,23.4,13.9,7.0,4.4,3.2,2.5,1.3,0.0,0.0,0.0,1.3
885,CS 498: AI Applications in Education,33,3.58,6.1,54.5,21.2,3.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
886,CS 498: AI for Robot Manipulation,46,3.38,10.9,32.6,21.7,8.7,6.5,13.0,0.0,0.0,0.0,0.0,0.0,2.2,4.3
887,CS 498: Applied Machine Learning,347,3.8,5.5,80.7,5.8,1.4,0.6,0.9,0.6,0.9,1.2,0.0,0.6,0.0,2.0
888,CS 498: Audio Computing Lab,50,3.64,24.0,50.0,8.0,0.0,0.0,6.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
