,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
1983,HIST 262: Zionism: A Global History,37,3.26,18.9,32.4,18.9,2.7,2.7,10.8,0.0,2.7,0.0,0.0,0.0,0.0,10.8
1984,HIST 263: History of Medicine in the United States,176,3.46,1.1,31.8,25.0,14.8,15.9,6.8,1.1,1.1,1.1,0.0,0.0,0.0,1.1
1985,HIST 264: Technology in Western Society,88,3.38,3.4,29.5,29.5,13.6,8.0,2.3,3.4,1.1,5.7,2.3,0.0,0.0,1.1
1986,HIST 269: Jewish History Since 1700,38,3.03,34.2,15.8,7.9,7.9,7.9,2.6,2.6,5.3,0.0,0.0,0.0,0.0,15.8
1987,HIST 273: Illinois History,90,3.76,22.2,38.9,20.0,7.8,10.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0
1988,HIST 274: US Foreign Relations Since 1917,130,3.44,13.8,23.1,24.6,12.3,16.9,1.5,1.5,3.1,0.0,0.0,0.0,0.0,3.1
1989,HIST 275: Afro-American History to 1877,75,3.34,22.7,26.7,17.3,5.3,2.7,5.3,2.7,4.0,10.7,0.0,0.0,1.3,1.3
1990,HIST 276: Afro-American Hist Since 1877,22,3.3,36.4,0.0,40.9,0.0,4.5,4.5,0.0,4.5,0.0,0.0,0.0,0.0,9.1
1991,HIST 277: Encounters in Native America,202,3.46,21.3,32.2,15.3,7.4,8.4,4.0,2.0,3.5,1.0,0.0,2.5,0.0,2.5
1992,HIST 278: Native American History,35,3.18,20.0,25.7,8.6,8.6,14.3,5.7,0.0,5.7,0.0,0.0,5.7,0.0,5.7
1993,HIST 280: Caribbean Latina/o Migration,111,3.6,2.7,52.3,19.8,12.6,4.5,0.9,0.9,2.7,0.9,0.0,0.9,0.0,1.8
1994,HIST 281: Constructing Race in America,1064,3.65,16.9,49.2,14.3,6.2,5.1,1.3,0.9,2.3,0.6,0.4,0.0,0.2,2.6
1995,HIST 283: Asian American History,183,3.28,8.2,24.6,24.0,8.2,15.3,9.8,1.6,0.0,2.7,0.0,1.1,0.0,4.4
1996,HIST 285: US Gender History to 1877,89,3.59,5.6,58.4,15.7,4.5,3.4,2.2,2.2,2.2,1.1,1.1,1.1,0.0,2.2
1997,HIST 287: African-American Women,35,3.9,54.3,25.7,11.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,HIST 293: The President and the People,48,3.44,16.7,41.7,12.5,12.5,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.3
1999,HIST 300: Topics in Film and History,140,3.41,6.4,36.4,17.1,12.9,11.4,6.4,2.1,1.4,1.4,0.7,0.0,1.4,2.1
2000,HIST 307: History of Mexico from 1519,138,3.71,11.6,44.9,20.3,10.9,8.7,1.4,0.7,0.7,0.7,0.0,0.0,0.0,0.0
2001,HIST 308: The Caribbean Since 1492: From Columbus to Castro,26,3.05,23.1,11.5,23.1,3.8,11.5,0.0,11.5,0.0,0.0,0.0,7.7,0.0,7.7
2002,HIST 311: Global History of Intelligence,75,3.35,1.3,34.7,25.3,13.3,9.3,4.0,1.3,0.0,4.0,1.3,2.7,1.3,1.3
2003,HIST 312: Immigrant America,103,3.37,15.5,35.0,12.6,6.8,8.7,12.6,1.0,1.0,0.0,1.0,1.0,0.0,4.9
2004,HIST 316: Global Histories of Gender,23,3.88,8.7,65.2,17.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,HIST 317: Birth of US Empire,25,3.27,0.0,52.0,20.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,12.0,0.0
2006,HIST 335: Middle East 1566-1914,55,3.58,21.8,52.7,9.1,5.5,1.8,0.0,0.0,0.0,1.8,0.0,0.0,0.0,7.3
2007,HIST 337: Middle East Since World War I,80,3.22,16.2,22.5,15.0,13.8,10.0,2.5,1.2,11.2,0.0,0.0,1.2,3.7,2.5
2008,HIST 344: Early Modern British Isles,24,3.36,0.0,25.0,20.8,20.8,8.3,20.8,4.2,0.0,0.0,0.0,0.0,0.0,0.0
2009,HIST 345: Medieval Civilization,52,3.46,13.5,34.6,13.5,21.2,5.8,3.8,0.0,0.0,1.9,1.9,0.0,0.0,3.8
2010,HIST 346: The Age of the Renaissance,35,3.63,5.7,51.4,17.1,8.6,8.6,5.7,0.0,0.0,0.0,0.0,0.0,2.9,0.0
2011,HIST 347: Protestant & Catholic Refs,25,3.17,0.0,28.0,12.0,20.0,20.0,8.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0
2012,HIST 348: Early Euro Absolut & Expansion,21,3.51,9.5,47.6,14.3,4.8,9.5,4.8,0.0,0.0,4.8,0.0,4.8,0.0,0.0
2013,"HIST 349: Age of Revolution, 1775-1815",30,2.98,3.3,33.3,16.7,10.0,13.3,0.0,0.0,6.7,0.0,0.0,3.3,0.0,13.3
2014,HIST 350: 19thC Romanticism & Politics,61,3.41,0.0,29.5,42.6,13.1,3.3,1.6,1.6,0.0,0.0,3.3,0.0,0.0,4.9
2015,HIST 352: Europe in the World,49,3.25,0.0,40.8,16.3,8.2,12.2,8.2,4.1,0.0,2.0,2.0,0.0,0.0,6.1
2016,HIST 353: European History 1918 to 1939,79,3.58,8.9,48.1,16.5,8.9,6.3,3.8,0.0,1.3,3.8,0.0,1.3,1.3,0.0
2017,HIST 354: Twentieth Century Europe,55,3.33,7.3,45.5,21.8,3.6,3.6,1.8,3.6,0.0,1.8,1.8,0.0,0.0,9.1
2018,HIST 356: The Modern Balkans through Literature and Film,56,3.42,12.5,37.5,17.9,14.3,5.4,1.8,3.6,0.0,0.0,0.0,0.0,0.0,7.1
2019,HIST 357: Modern France,30,3.83,13.3,60.0,13.3,6.7,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,HIST 358: History Harvest: Collaborative Digital Public History,29,3.82,27.6,44.8,17.2,0.0,3.4,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,HIST 364: The Science of Human Nature,25,3.32,4.0,24.0,20.0,24.0,16.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
