,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
270,MATH 481: Vector and Tensor Analysis,45,2.78,17.8,8.9,15.6,4.4,11.1,11.1,0.0,6.7,8.9,2.2,2.2,4.4,6.7
271,ECE 329: Fields and Waves I,880,2.78,10.7,12.8,9.9,10.0,11.7,8.6,9.2,9.2,4.9,3.1,3.5,1.5,4.9
272,AE 321: Mechs of Aerospace Structures,686,2.71,2.3,20.0,5.5,10.5,17.6,7.9,7.0,10.6,4.1,2.2,4.1,1.9,6.3
273,IE 330: Industrial Quality Control,86,2.69,4.7,11.6,10.5,9.3,11.6,10.5,12.8,10.5,7.0,4.7,1.2,3.5,2.3
274,AE 435: Electric Space Propulsion,36,2.67,0.0,13.9,11.1,5.6,19.4,13.9,2.8,11.1,8.3,0.0,13.9,0.0,0.0
275,ECE 340: Semiconductor Electronics,392,2.61,4.3,14.0,6.1,5.9,18.4,9.2,5.9,15.8,6.9,1.3,6.1,1.5,4.6
276,NPRE 448: Nuclear Syst Engrg & Design,67,2.6,1.5,23.9,6.0,9.0,1.5,17.9,6.0,9.0,9.0,0.0,4.5,4.5,7.5
277,CHEM 102: General Chemistry I,339,2.48,1.8,6.2,8.0,8.8,16.8,12.7,8.3,14.7,7.1,5.9,4.1,0.9,4.7
278,GEOL 432: Mineralogy and Mineral Optics,21,2.43,0.0,4.8,9.5,19.0,14.3,0.0,9.5,14.3,9.5,9.5,0.0,4.8,4.8
279,"PHYS 419: Space, Time, and Matter-ACP",24,2.43,0.0,12.5,12.5,8.3,16.7,16.7,0.0,8.3,0.0,0.0,8.3,0.0,16.7
280,MATH 414: Mathematical Logic,22,2.26,9.1,9.1,0.0,13.6,22.7,0.0,4.5,4.5,4.5,0.0,9.1,4.5,18.2
